recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-06-25 00:00:00+00:00,61785.0020765888,42036553106.89028,,,66023.38156660665,65226.934725433835,66384.27020713799,-186662293246.71567,2.040454591056374,64752.90985370139,65984.20871453211,-1231.2988608307205,-602.0166133464775,66714.7427662042,2594.131807032754,71903.00638026971,61526.479152138694,0.0,823.1632060120464,823.1632060120464,823.1632060120464,524.288212575286,,,,61785.0020765888,68348.94987047349,0.0,0.0
2024-06-26 00:00:00+00:00,60961.181679803914,21105562261.648533,,,65824.86392398694,65142.464368094625,66296.57106921005,-207767855508.3642,1.9482772616439803,64169.56705771716,65612.13263788557,-1442.5655801684115,-770.1264067108643,66220.3985370216,2704.698198130195,71629.79493328198,60811.00214076121,0.0,823.8203967848822,823.8203967848822,823.8203967848822,549.0934537126892,,,,60961.181679803914,67417.99632263563,0.0,0.0
2024-06-27 00:00:00+00:00,61360.98512987195,22908540918.971207,,,65649.80985362949,65067.58359110011,66211.4316171836,-184859314589.393,7.679728580609918,63737.47753035636,65297.232822477155,-1559.755292120797,-928.052183792851,65767.28862664722,2722.5837310834927,71212.4560888142,60322.12116448023,0.0,399.8034500680369,399.8034500680369,399.8034500680369,511.15416101484516,,,,60961.181679803914,66978.63845926701,6.6440601855674535,2.2146867285224845
2024-06-28 00:00:00+00:00,60876.54616632388,18855138893.067604,,,65462.623042362604,64984.59275100553,66136.74774511435,-203714453482.4606,7.631652048716504,63297.334243582125,64969.77455165098,-1672.4403080688571,-1076.9298086480524,65321.11502321536,2757.876922885468,70836.86886898629,59805.36117744442,0.0,484.4389635480693,484.4389635480693,484.4389635480693,514.3742395990911,,,,60876.54616632388,66422.13809651021,0.0,2.2146867285224845
2024-06-29 00:00:00+00:00,60914.72848896193,24399416695.150173,,,65284.274236346886,64904.001379479916,66043.83124656952,-179315036787.31042,8.957766218016872,62930.7795121021,64669.40076922957,-1738.6212571274737,-1209.2680983439366,64895.27432683892,2747.301453713527,70389.87723426596,59400.67141941186,0.0,38.18232263805112,38.18232263805112,38.18232263805112,468.672210599275,,,,60876.54616632388,66422.13809651021,0.6885166294009698,2.444192271656141
2024-06-30 00:00:00+00:00,61305.311326946736,11435110883.886795,,,65128.23647519394,64832.74019032084,66004.64339652364,-167879925903.42365,14.130217614191878,62680.70748361666,64420.2089586901,-1739.5014750734408,-1315.3147736898375,64486.165852016966,2634.3651909270693,69754.8962338711,59217.435470162825,0.0,390.5828379848026,390.5828379848026,390.5828379848026,494.55243368566414,,,,60876.54616632388,66422.13809651021,7.731639219412366,2.806718616271112
2024-07-01 00:00:00+00:00,62139.553090202506,17373592048.120487,,,65011.033205194275,64779.40975269474,65956.68167575859,-150506333855.30316,21.855486400699732,62597.45296155295,64251.27148695028,-1653.8185253973352,-1383.015524031337,64151.868661960354,2474.0699962838175,69100.00865452799,59203.728669392716,0.0,834.2417632557699,834.2417632557699,834.2417632557699,543.4432681572164,,,,60876.54616632388,66061.74720420255,24.357916205218853,10.926024018010729
2024-07-02 00:00:00+00:00,62532.26038192461,25573074910.689686,,,64913.82642781115,64734.91174535275,65895.25533320288,-124933258944.61348,26.902842820710873,62587.42333391782,64123.937331022455,-1536.5139971046374,-1413.715218645997,63861.0341875329,2289.741091584493,68440.5163707019,59281.55200436392,0.0,392.7072917221012,392.7072917221012,392.7072917221012,545.7515824011045,,,,60876.54616632388,65492.25946629773,35.87125343357237,22.65360295273453
2024-07-03 00:00:00+00:00,61702.356023550004,18100530101.689426,,,64787.88641195778,64674.86113700022,65842.68859390425,-143033789046.30292,26.01611940609861,62451.25913232277,63944.56093787635,-1493.3018055535795,-1429.6325360275137,63575.25217257863,2176.306088753859,67927.86435008634,59222.63999507091,0.0,829.9043583746025,829.9043583746025,829.9043583746025,564.3527695775176,,,,60876.54616632388,64953.68794592377,20.254626938854308,26.827932192548513
2024-07-04 00:00:00+00:00,59825.473308505956,30348692427.02443,,,64593.28197652829,64578.83365524785,65718.8071275165,-173382481473.32733,22.247668075005777,62047.2920825048,63639.44333570076,-1592.1512531959597,-1462.1362794612028,63217.59391504057,2175.3314372553737,67568.25678955132,58866.931040529824,0.0,1876.8827150440484,1876.8827150440484,1876.8827150440484,659.9464263396668,,,,59825.473308505956,64607.79110343017,0.0,18.708626790808896
2024-07-05 00:00:00+00:00,58057.9059131631,43112005394.93119,,,64336.992719141424,64449.70637322636,65501.121563235254,-216494486868.2585,19.28086473868001,61433.540364144545,63225.996119216485,-1792.45575507194,-1528.2001745833504,62805.457824167155,2335.4187046770226,67476.2952335212,58134.62041481311,0.0,1767.567395342856,1767.567395342856,1767.567395342856,761.4943229717568,,,,58057.9059131631,64385.40073027293,0.0,6.751542312951439
2024-07-06 00:00:00+00:00,57386.50704312833,60081357583.2773,,,64064.42465341542,64309.84103995709,65192.02580031865,-276575844451.5358,18.501627348377014,60810.91985321897,62793.44137283958,-1982.5215196206118,-1619.064443590803,62361.164775530764,2481.797576733249,67324.75992899726,57397.569622064264,0.0,671.3988700347691,671.3988700347691,671.3988700347691,793.5663584630087,,,,57386.50704312833,63844.29505240531,0.0,0.0
2024-07-07 00:00:00+00:00,56950.24079432315,21293913670.919975,,,63785.43705109808,64164.10638162771,65082.24197912266,-297869758122.4558,18.677882165038824,60216.96922877346,62360.61170035688,-2143.642471583422,-1723.9800491893268,61887.56991042141,2568.3070106409577,67024.18393170333,56750.95588913949,0.0,436.2662488051792,436.2662488051792,436.2662488051792,786.0778278156914,,,,56950.24079432315,62608.16528260084,0.0,0.0
